id,city_name,main,date_time,description,main_temp,main_feels_like,main_temp_min,main_temp_max,main_pressure,main_humidity,main_sea_level,main_grnd_level,wind_speed,wind_deg,wind_gust,clouds_all,icon,base,visibility,dt,timezone,cod,coord_lon,coord_lat,sys_country,sys_sunrise,sys_sunset,sys_type,sys_id
800,Paris,Clear,2025-05-30 14:07:58.365900+00:00,clear sky,29.62,29.83,28.88,30.68,1019,45,1019,1009,3.09,190,,0,01d,stations,10000,1748613435,7200,200,2.3488,48.8534,FR,1748577194,1748634206,2.0,2012208.0
802,Berlin,Clouds,2025-05-30 14:07:58.494643+00:00,scattered clouds,24.02,24.12,23.25,25.55,1017,63,1017,1011,5.66,270,,40,03d,stations,10000,1748613901,7200,200,13.4105,52.5244,DE,1748573484,1748632606,2.0,2011538.0
800,Madrid,Clear,2025-05-30 14:07:58.612738+00:00,clear sky,33.45,31.77,32.53,34.25,1018,24,1018,945,3.6,200,,0,01d,stations,10000,1748613941,7200,200,-3.7026,40.4165,ES,1748580473,1748633832,2.0,2084029.0
804,Rome,Clouds,2025-05-30 14:07:58.722115+00:00,overcast clouds,21.01,21.62,20.49,22.22,1013,94,1013,987,3.09,0,,100,04d,stations,10000,1748613662,-14400,200,-85.1647,34.257,US,1748601035,1748652376,2.0,2038061.0
804,Vienna,Clouds,2025-05-30 14:07:58.854704+00:00,overcast clouds,21.88,21.9,20.26,22.71,1021,68,1021,994,0.89,316,1.34,93,04d,stations,10000,1748613989,7200,200,16.3721,48.2085,AT,1748573995,1748630673,2.0,2037452.0
801,Athens,Clouds,2025-05-30 14:07:58.989066+00:00,few clouds,24.07,23.79,22.99,25.13,1011,48,1011,987,6.71,292,11.18,20,02d,stations,10000,1748613288,10800,200,23.7162,37.9795,GR,1748574320,1748626823,2.0,2005332.0
800,Warsaw,Clear,2025-05-30 14:07:59.181915+00:00,clear sky,19.45,18.83,18.13,20.51,1016,53,1016,1006,6.69,280,,0,01d,stations,10000,1748613602,7200,200,21.0118,52.2298,PL,1748571754,1748630687,2.0,2035775.0
801,Amsterdam,Clouds,2025-05-30 14:07:59.353327+00:00,few clouds,20.44,20.24,18.78,22.71,1019,65,1019,1019,9.77,240,,20,02d,stations,10000,1748613366,7200,200,4.8897,52.374,NL,1748575575,1748634605,2.0,2046553.0
802,Brussels,Clouds,2025-05-30 14:07:59.520000+00:00,scattered clouds,25.48,25.6,24.89,26.55,1019,58,1019,1012,4.12,250,,40,03d,stations,10000,1748613791,7200,200,4.3488,50.8504,BE,1748576166,1748634274,1.0,1227.0
804,Copenhagen,Clouds,2025-05-30 14:07:59.668500+00:00,overcast clouds,19.24,19.18,18.94,19.52,1012,75,1012,1010,8.23,240,,100,04d,stations,10000,1748613605,7200,200,12.5655,55.6759,DK,1748572570,1748633925,2.0,2035645.0
801,Helsinki,Clouds,2025-05-30 14:07:59.833803+00:00,few clouds,17.06,16.31,15.43,19.65,1006,57,1006,1005,6.26,208,8.49,20,02d,stations,10000,1748613842,10800,200,24.9355,60.1695,FI,1748567457,1748633100,2.0,20457.0
804,Oslo,Clouds,2025-05-30 14:08:00.015036+00:00,overcast clouds,22.13,21.26,20.69,22.2,1001,33,1001,977,2.68,210,4.47,86,04d,stations,10000,1748613889,7200,200,10.7461,59.9127,NO,1748571007,1748636361,2.0,46775.0
803,Stockholm,Clouds,2025-05-30 14:08:00.165877+00:00,broken clouds,15.98,15.59,15.59,16.21,1001,75,1001,998,4.12,200,,75,04d,stations,10000,1748613994,7200,200,18.0649,59.3326,SE,1748569574,1748634282,1.0,1788.0
800,Lisbon,Clear,2025-05-30 14:08:00.317974+00:00,clear sky,32.18,31.41,28.13,32.67,1017,33,1017,1010,3.6,80,,0,01d,stations,10000,1748613302,3600,200,-9.1333,38.7167,PT,1748582076,1748634836,1.0,6901.0
803,Prague,Clouds,2025-05-30 14:08:00.469959+00:00,broken clouds,24.33,24.1,22.94,25.9,1020,49,1020,985,5.66,290,,75,04d,stations,10000,1748613926,7200,200,14.4208,50.088,CZ,1748573966,1748631638,2.0,2010430.0
800,Budapest,Clear,2025-05-30 14:08:00.582002+00:00,clear sky,19.25,18.69,18.9,20.29,1020,56,1020,999,6.69,300,,0,01d,stations,10000,1748613794,7200,200,19.0399,47.498,HU,1748573531,1748629856,2.0,2009313.0
800,Dublin,Clear,2025-05-30 14:08:00.685560+00:00,clear sky,13.51,13.19,12.01,15.14,1015,87,1015,990,1.54,40,,0,01d,stations,10000,1748613437,-25200,200,-121.9358,37.7021,US,1748609312,1748661750,2.0,2016191.0
800,Donji grad,Clear,2025-05-30 14:08:00.813450+00:00,clear sky,21.82,21.26,21.82,21.82,1022,46,1022,1004,2.06,0,,0,01d,stations,10000,1748613600,7200,200,15.9775,45.8131,HR,1748574660,1748630197,1.0,6389.0
802,Ljubljana,Clouds,2025-05-30 14:08:00.963065+00:00,scattered clouds,26.15,26.15,26.03,26.42,1020,46,1020,970,0.45,45,0.89,38,03d,stations,10000,1748613499,7200,200,14.5051,46.0511,SI,1748574960,1748630604,2.0,2003318.0
802,Bratislava,Clouds,2025-05-30 14:08:01.094868+00:00,scattered clouds,18.73,18.7,18.73,19.81,1021,78,1021,1000,3.09,310,,40,03d,stations,10000,1748614057,7200,200,17.1067,48.1482,SK,1748573834,1748630481,2.0,2006545.0
800,Vilnius,Clear,2025-05-30 14:08:01.232235+00:00,clear sky,20.56,19.61,20.23,20.64,1013,36,1013,994,4.12,290,,0,01d,stations,10000,1748613502,10800,200,25.2798,54.6892,LT,1748569896,1748630496,1.0,1883.0
802,Rīga,Clouds,2025-05-30 14:08:01.332946+00:00,scattered clouds,21.13,20.32,21.04,21.13,1010,39,1010,1009,3.09,0,,40,03d,stations,10000,1748613600,10800,200,24.0833,57.0,LV,1748569259,1748631708,2.0,2075320.0
800,Tallinn,Clear,2025-05-30 14:08:01.463862+00:00,clear sky,19.19,18.13,19.19,19.19,1008,37,1008,1005,3.09,310,,0,01d,stations,10000,1748613438,10800,200,24.7535,59.437,EE,1748567914,1748632731,1.0,1330.0
800,Bern,Clear,2025-05-30 14:08:01.572174+00:00,clear sky,26.75,26.3,26.36,27.1,1022,31,1022,949,2.57,310,,0,01d,stations,10000,1748614105,7200,200,7.4474,46.9481,CH,1748576444,1748632508,1.0,6937.0
802,Reykjavik,Clouds,2025-05-30 14:08:01.676202+00:00,scattered clouds,9.81,7.71,9.81,9.81,1009,57,1009,996,4.12,280,,40,03d,stations,10000,1748613714,0,200,-21.8954,64.1355,IS,1748575655,1748647383,1.0,91.0
800,Luxembourg Province,Clear,2025-05-30 14:08:01.804204+00:00,clear sky,24.66,24.72,24.66,24.66,1020,59,1020,966,4.15,243,5.39,0,01d,stations,10000,1748614112,7200,200,5.5,50.0,BE,1748576131,1748633756,2.0,2017591.0
801,Valletta,Clouds,2025-05-30 14:08:01.920265+00:00,few clouds,25.3,25.11,25.3,25.3,1017,47,1017,1016,2.57,0,,20,02d,stations,10000,1748613699,7200,200,14.5147,35.8997,MT,1748576865,1748628695,1.0,6861.0
800,Monaco,Clear,2025-05-30 14:08:02.073518+00:00,clear sky,24.25,24.64,23.88,29.05,1020,73,1020,1017,2.57,140,,0,01d,stations,10000,1748613841,7200,200,7.419,43.7314,MC,1748577162,1748631804,1.0,6515.0
500,Andorra la Vella,Rain,2025-05-30 14:08:02.204427+00:00,light rain,27.77,27.12,26.61,27.77,1020,34,1020,825,7.2,200,,40,10d,stations,10000,1748614112,7200,200,1.4941,42.5045,AD,1748578831,1748632979,2.0,2099214.0
800,San Marino,Clear,2025-05-30 14:08:02.334647+00:00,clear sky,24.39,24.16,22.57,25.57,1020,49,1020,986,4.63,110,,0,01d,stations,10000,1748613866,7200,200,12.4167,43.9333,SM,1748575922,1748630645,2.0,2076801.0
800,Vaduz,Clear,2025-05-30 14:08:02.456091+00:00,clear sky,26.7,27.2,25.54,28.38,1021,51,1021,890,0.89,45,5.36,7,01d,stations,10000,1748614113,7200,200,9.5215,47.1415,LI,1748575901,1748632056,2.0,2043024.0
803,Skopje,Clouds,2025-05-30 14:08:02.594180+00:00,broken clouds,18.82,18.12,18.82,18.82,1018,52,1018,966,6.69,350,,75,04d,stations,10000,1748613618,7200,200,21.4333,42.0,MK,1748574145,1748628093,1.0,7023.0
803,Sarajevo,Clouds,2025-05-30 14:08:02.728266+00:00,broken clouds,18.95,17.87,18.95,18.95,1021,37,1021,912,3.09,350,,75,04d,stations,10000,1748613452,7200,200,18.3564,43.8486,BA,1748574514,1748629201,1.0,6906.0
500,Belgrade,Rain,2025-05-30 14:08:02.892606+00:00,light rain,20.76,20.22,20.21,20.81,1019,51,1019,1004,4.63,330,,0,10d,stations,10000,1748613644,7200,200,20.4651,44.804,RS,1748573806,1748628897,2.0,2037836.0
801,Podgorica,Clouds,2025-05-30 14:08:03.113164+00:00,few clouds,25.88,25.18,25.88,25.88,1016,25,1016,979,7.72,10,,20,02d,stations,10000,1748613324,7200,200,19.2636,42.4411,ME,1748574580,1748628700,1.0,7035.0
801,Tirana,Clouds,2025-05-30 14:08:03.320132+00:00,few clouds,24.49,23.93,24.49,24.49,1015,36,1015,978,6.17,10,,20,02d,stations,10000,1748613949,7200,200,19.8189,41.3275,AL,1748574661,1748628353,1.0,6359.0
804,Chișinău,Clouds,2025-05-30 14:08:03.439723+00:00,overcast clouds,19.24,18.76,19.24,19.24,1015,59,1015,1000,5.66,360,,100,04d,stations,10000,1748613602,10800,200,28.8575,47.0056,MD,1748571295,1748627380,1.0,7022.0
503,Bucharest,Rain,2025-05-30 14:08:03.577476+00:00,very heavy rain,17.91,17.9,17.79,19.05,1016,82,1016,1006,5.14,150,,75,10d,stations,10000,1748613692,10800,200,26.1063,44.4323,RO,1748572533,1748627463,1.0,6911.0
200,Sofia,Thunderstorm,2025-05-30 14:08:03.684509+00:00,thunderstorm with light rain,15.83,15.48,15.83,15.83,1017,77,1017,939,3.09,280,,75,11d,stations,10000,1748613599,10800,200,23.3242,42.6975,BG,1748573556,1748627775,1.0,6366.0
804,Kyiv,Clouds,2025-05-30 14:08:03.813378+00:00,overcast clouds,17.58,17.33,17.58,17.58,1012,74,1012,997,4.22,290,6.01,92,04d,stations,10000,1748613419,10800,200,30.5167,50.4333,UA,1748570009,1748627869,,
